: firstname-lastname
Ilya Rostov
Nataly Rostova
Vera Rostova
Nicholas Rostov
Natalie Rostova
Natasha Rostova
Petya Rostov
Nicholas Bolkonski
Andrew Bolkonski
Mary Bolkonskaya
Lise Bolkonskaya
Vasili Kuragin
Aline Kuragina
Anatole Kuragin
Hippolyte Kuragin
Cyril Bezukhov
Pierre Bezukhov
Helene Bezukhova
Anna Drubetskaya
Boris Drubetskóy
Marya Karagina
Julie Karagina
Anna Scherer

: title-lastname
Count Rostov
Countess Rostova
Prince Bolkonski
Princess Bolkonskaya
Prince Kuragin
Countess Bezukhova
Count Bezukhov
Princess Drubetskaya
Count Mamonov
Prince Dolgorukov

: child-parent
Julie Marya
Helene Vasili
Helene Aline
Anatole Vasili
Anatole Aline
Hippolyte Vasili
Hippolyte Aline
Pierre Cyril
Andrew Nicholas
Mary Nicholas
Natasha Ilya
Natasha Nataly
Vera Ilya
Vera Nataly
Petya Ilya
Petya Nataly
Nicholas Ilya
Nicholas Nataly

: staff-master
Alpatych Bolkonski
Tikhon Bolkonski
Pelageya Bolkonski
Karp Bolkonski
Ferapontov Bolkonski
Lavrushka Rostov
Mavra Rostov
Zakhar Rostov
Dunyasha Rostov
Ignat Rostov
Prokofy Rostov

:end
